date,close,job_zscore
2026-01-14,259.96,1.5018507101425451
2026-01-15,258.21,1.3904435743076444
2026-01-16,255.53,1.2921675470685037
2026-01-20,246.7,1.2041594578792525
2026-01-21,247.65,1.124323158216806
2026-01-22,248.35,1.0510765456245055
2026-01-23,248.04,0.9831920802501931
2026-01-26,255.41,0.9196919774214386
2026-01-27,258.27,0.8597765327540274
2026-01-28,256.44,0.8027729719195
2026-01-29,258.28,0.7480970009343972
2026-01-30,259.48,0.69522178715382
2026-02-02,270.01,0.05153847169195137
2026-02-03,269.48,7.633286366585506e-05
2026-02-04,276.49,-0.05622018598096215
2026-02-05,275.91,-0.11915095162524524
2026-02-06,278.12,-0.1915150314575877
2026-02-09,274.62,-0.27800560559389376
2026-02-10,273.68,-0.3873456530351235
2026-02-11,275.5,-0.5384270674688917
2026-02-12,261.73,-0.7842289732338726
2026-02-13,255.78,-1.3904435743079808
2026-02-17,263.88,-1.2921675470688054
2026-02-18,264.35,-1.204159457879525
2026-02-19,260.58,-1.1243231582170554
2026-02-20,264.58,-1.0510765456247286
2026-02-23,266.18,-0.9831920802504017
2026-02-24,272.14,-0.919691977421631
2026-02-25,274.23,-0.8597765327541969
2026-02-26,272.95,-0.802772971919655
2026-02-27,264.18,-0.7480970009345584
2026-03-02,264.72,0.3844053328502447
2026-03-03,263.75,0.43005986371283156
2026-03-04,262.52,0.47977412636390143
2026-03-05,260.29,0.5344828178163433
2026-03-06,257.46,0.5954453990182429
2026-03-09,259.88,0.6644102871851401
2026-03-10,260.83,0.7438939933829568
2026-03-11,260.81,0.8376846819966474
2026-03-12,255.76,0.9518211128244917
2026-03-13,250.12,1.0966906871827786
2026-03-16,252.82,1.2921675470694578
2026-03-17,254.23,1.2041594578801238
2026-03-18,249.94,1.1243231582176116
2026-03-19,248.96,1.051076545625261
2026-03-20,247.99,0.9831920802508859
2026-03-23,251.49,0.9196919774220831
2026-03-24,251.64,0.8597765327546416
2026-03-25,252.62,0.8027729719200961
2026-03-26,252.89,0.7480970009349777
2026-03-27,248.8,0.695221787154393
