date,symbol,close,volume
2021-07-14,AAPL,149.15,127050800
2021-07-14,AMZN,184.08,65932000
2021-07-14,GOOGL,128.24,23745660
2021-07-14,MSFT,282.51,23113700
2021-07-14,NVDA,19.84,380100000
2021-07-15,AAPL,148.48,106820300
2021-07-15,AMZN,181.56,63706000
2021-07-15,GOOGL,127.01,24218800
2021-07-15,MSFT,281.03,22604227
2021-07-15,NVDA,18.97,550564520
2021-07-16,AAPL,146.39,93251426
2021-07-16,AMZN,178.68,80874000
2021-07-16,GOOGL,126.97,20424540
2021-07-16,MSFT,280.75,26186848
2021-07-16,NVDA,18.16,688224000
2021-07-19,AAPL,142.45,121434600
2021-07-19,AMZN,177.48,75692000
2021-07-19,GOOGL,124.58,27968000
2021-07-19,MSFT,277.01,32935634
2021-07-19,NVDA,18.78,749060000
2021-07-20,AAPL,146.15,96350036
2021-07-20,AMZN,178.66,65114000
2021-07-20,GOOGL,126.21,26316440
2021-07-20,MSFT,279.32,26259741
2021-07-20,NVDA,18.61,434687000
2021-07-21,AAPL,145.4,74993500
2021-07-21,AMZN,179.26,46380000
2021-07-21,GOOGL,127.55,20746180
2021-07-21,MSFT,281.4,24364320
2021-07-21,NVDA,19.41,371017360
2021-07-22,AAPL,146.8,77338200
2021-07-22,AMZN,181.9,65308000
2021-07-22,GOOGL,128.42,14302000
2021-07-22,MSFT,286.14,23384100
2021-07-22,NVDA,19.59,323826000
2021-07-23,AAPL,148.56,71447416
2021-07-23,AMZN,182.83,48726000
2021-07-23,GOOGL,133.01,41506420
2021-07-23,MSFT,289.67,22768100
2021-07-23,NVDA,19.56,195672000
2021-07-26,AAPL,148.99,72434100
2021-07-26,AMZN,184.99,58002000
2021-07-26,GOOGL,134.04,30572000
2021-07-26,MSFT,289.05,23176100
2021-07-26,NVDA,19.29,203943160
2021-07-27,AAPL,146.77,104818600
2021-07-27,AMZN,181.32,82638000
2021-07-27,GOOGL,131.9,54710000
2021-07-27,MSFT,286.54,33604100
2021-07-27,NVDA,19.21,248863000
2021-07-28,AAPL,144.98,118931200
2021-07-28,AMZN,181.52,59988000
2021-07-28,GOOGL,136.09,95130600
2021-07-28,MSFT,286.22,33566900
2021-07-28,NVDA,19.5,202191150
2021-07-29,AAPL,145.64,56699500
2021-07-29,AMZN,180.0,110400000
2021-07-29,GOOGL,135.78,31716000
2021-07-29,MSFT,286.5,18168300
2021-07-29,NVDA,19.66,190781000
2021-07-30,AAPL,145.86,70440626
2021-07-30,AMZN,166.38,199312000
2021-07-30,GOOGL,134.73,25576000
2021-07-30,MSFT,284.91,20944846
2021-07-30,NVDA,19.5,183497460
2021-08-02,AAPL,145.52,62880000
2021-08-02,AMZN,166.57,67078000
2021-08-02,GOOGL,134.85,21634200
2021-08-02,MSFT,284.82,16267400
2021-08-02,NVDA,19.75,217444000
2021-08-03,AAPL,147.36,64786618
2021-08-03,AMZN,168.31,83146000
2021-08-03,GOOGL,135.63,20762000
2021-08-03,MSFT,287.12,17879048
2021-08-03,NVDA,19.82,301811000
2021-08-04,AAPL,146.95,56368300
2021-08-04,AMZN,167.74,43678000
2021-08-04,GOOGL,135.13,19676020
2021-08-04,MSFT,286.51,16191301
2021-08-04,NVDA,20.27,231309400
2021-08-05,AAPL,147.06,46397700
2021-08-05,AMZN,168.8,48670000
2021-08-05,GOOGL,136.25,17870000
2021-08-05,MSFT,289.52,13900200
2021-08-05,NVDA,20.64,211435370
2021-08-06,AAPL,146.14,54126813
2021-08-06,AMZN,167.25,52752000
2021-08-06,GOOGL,135.74,20488120
2021-08-06,MSFT,289.46,16589336
2021-08-06,NVDA,20.37,178497000
2021-08-09,AAPL,146.09,48908700
2021-08-09,AMZN,167.09,42964000
2021-08-09,GOOGL,136.91,17766000
2021-08-09,MSFT,288.33,16117629
2021-08-09,NVDA,20.3,146443100
2021-08-10,AAPL,145.6,69023100
2021-08-10,AMZN,166.03,48252000
2021-08-10,GOOGL,136.81,19414080
2021-08-10,MSFT,286.44,18616600
2021-08-10,NVDA,19.94,179238000
2021-08-11,AAPL,145.86,48493500
2021-08-11,AMZN,164.61,58944000
2021-08-11,GOOGL,136.28,15352000
2021-08-11,MSFT,286.95,13955934
2021-08-11,NVDA,19.7,185925000
2021-08-12,AAPL,148.89,73779113
2021-08-12,AMZN,165.18,46282000
2021-08-12,GOOGL,137.19,16518860
2021-08-12,MSFT,289.81,14570391
2021-08-12,NVDA,19.91,151861550
2021-08-13,AAPL,149.1,59375009
2021-08-13,AMZN,164.7,41134000
2021-08-13,GOOGL,137.73,15948000
2021-08-13,MSFT,292.85,18249046
2021-08-13,NVDA,20.19,183063000
2021-08-16,AAPL,151.12,103558782
2021-08-16,AMZN,164.95,66394000
2021-08-16,GOOGL,138.31,22398360
2021-08-16,MSFT,294.6,22516027
2021-08-16,NVDA,19.95,211152800
2021-08-17,AAPL,150.19,92229735
2021-08-17,AMZN,162.1,67758000
2021-08-17,GOOGL,136.66,21716000
2021-08-17,MSFT,293.08,20075300
2021-08-17,NVDA,19.46,204585000
2021-08-18,AAPL,146.36,86326000
2021-08-18,AMZN,160.06,56086000
2021-08-18,GOOGL,135.45,19258940
2021-08-18,MSFT,290.73,21813000
2021-08-18,NVDA,19.04,285913480
2021-08-19,AAPL,146.7,86960310
2021-08-19,AMZN,159.39,75658000
2021-08-19,GOOGL,135.68,21782540
2021-08-19,MSFT,296.77,29850500
2021-08-19,NVDA,19.8,766555000
2021-08-20,AAPL,148.19,60549630
2021-08-20,AMZN,160.0,67168000
2021-08-20,GOOGL,137.43,31194000
2021-08-20,MSFT,304.36,40817646
2021-08-20,NVDA,20.82,675741310
2021-08-23,AAPL,149.71,60131810
2021-08-23,AMZN,163.29,65362000
2021-08-23,GOOGL,140.04,28454000
2021-08-23,MSFT,304.65,22830200
2021-08-23,NVDA,21.96,575807000
2021-08-24,AAPL,149.62,48606428
2021-08-24,AMZN,165.29,51036000
2021-08-24,GOOGL,141.26,19268000
2021-08-24,MSFT,302.62,18175800
2021-08-24,NVDA,21.79,297299000
2021-08-25,AAPL,148.36,58991300
2021-08-25,AMZN,164.96,33606000
2021-08-25,GOOGL,142.08,15851480
2021-08-25,MSFT,302.01,20006100
2021-08-25,NVDA,22.21,347701040
2021-08-26,AAPL,147.54,48597200
2021-08-26,AMZN,165.8,41976000
2021-08-26,GOOGL,141.44,20610000
2021-08-26,MSFT,299.09,17666100
2021-08-26,NVDA,22.07,237940420
2021-08-27,AAPL,148.6,55802400
2021-08-27,AMZN,167.48,48048000
2021-08-27,GOOGL,144.0,28780200
2021-08-27,MSFT,299.72,22605726
2021-08-27,NVDA,22.64,304722190
2021-08-30,AAPL,153.12,90956723
2021-08-30,AMZN,171.08,63844000
2021-08-30,GOOGL,144.59,24434200
2021-08-30,MSFT,303.59,16348100
2021-08-30,NVDA,22.69,262580000
2021-08-31,AAPL,151.83,86453117
2021-08-31,AMZN,173.54,87128000
2021-08-31,GOOGL,144.7,22448760
2021-08-31,MSFT,301.88,26285338
2021-08-31,NVDA,22.39,259850000
2021-09-01,AAPL,152.51,80313711
2021-09-01,AMZN,173.95,72598000
2021-09-01,GOOGL,145.22,21936100
2021-09-01,MSFT,301.83,18983826
2021-09-01,NVDA,22.44,201767000
2021-09-02,AAPL,153.65,71171317
2021-09-02,AMZN,173.16,58474000
2021-09-02,GOOGL,143.29,32358140
2021-09-02,MSFT,301.15,16290545
2021-09-02,NVDA,22.4,188109570
2021-09-03,AAPL,154.3,57866066
2021-09-03,AMZN,173.9,51514000
2021-09-03,GOOGL,143.74,19854360
2021-09-03,MSFT,301.14,14751610
2021-09-03,NVDA,22.84,280831980
2021-09-07,AAPL,156.69,82278300
2021-09-07,AMZN,175.46,54758000
2021-09-07,GOOGL,144.28,20131900
2021-09-07,MSFT,300.18,17184083
2021-09-07,NVDA,22.66,198107160
2021-09-08,AAPL,155.11,74420207
2021-09-08,AMZN,176.27,61068000
2021-09-08,GOOGL,143.69,18350220
2021-09-08,MSFT,300.21,15046819
2021-09-08,NVDA,22.34,254434210
2021-09-09,AAPL,154.07,57305730
2021-09-09,AMZN,174.21,54384000
2021-09-09,GOOGL,143.54,15317100
2021-09-09,MSFT,297.25,19927000
2021-09-09,NVDA,22.18,196856010
2021-09-10,AAPL,148.97,140893235
2021-09-10,AMZN,173.46,47946000
2021-09-10,GOOGL,140.88,36840000
2021-09-10,MSFT,295.71,19633400
2021-09-10,NVDA,22.48,248376000
2021-09-13,AAPL,149.55,102404329
2021-09-13,AMZN,172.86,51380000
2021-09-13,GOOGL,142.33,22094000
2021-09-13,MSFT,296.99,23652949
2021-09-13,NVDA,22.15,297500000
2021-09-14,AAPL,148.12,109296300
2021-09-14,AMZN,172.5,38738000
2021-09-14,GOOGL,142.54,19674000
