symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2025-12-04,284.1,284.73,278.59,280.7,43989100,-3.4,-1.2,282.03
AAPL,2025-12-03,286.2,288.62,283.3,284.15,43538700,-2.05,-0.71628,285.5675
AAPL,2025-12-02,283.0,287.4,282.63,286.19,53669532,3.19,1.13,284.805
AAPL,2025-12-01,278.01,283.42,276.14,283.1,46587722,5.09,1.83,280.1675
AAPL,2025-11-28,277.26,279.0,275.99,278.85,20135620,1.59,0.57347,277.775
AAPL,2025-11-26,276.96,279.53,276.63,277.55,33431423,0.59,0.21303,277.6675
AAPL,2025-11-25,275.27,280.38,275.25,276.97,46914220,1.7,0.61758,276.9675
AAPL,2025-11-24,270.9,277.0,270.9,275.92,65585800,5.02,1.85,273.68
AAPL,2025-11-21,265.95,273.33,265.67,271.49,59030832,5.54,2.08,269.11
AAPL,2025-11-20,270.83,275.43,265.92,266.25,45823600,-4.58,-1.69,269.6075
AAPL,2025-11-19,265.52,272.21,265.5,268.56,40424500,3.04,1.14,267.9475
AAPL,2025-11-18,269.99,270.71,265.32,267.44,45677300,-2.55,-0.94448,268.365
AAPL,2025-11-17,268.82,270.49,265.73,267.46,45018300,-1.36,-0.50591,268.125
AAPL,2025-11-14,271.05,275.96,269.6,272.41,47431331,1.36,0.50175,272.255
AAPL,2025-11-13,274.11,276.7,272.09,272.95,49602800,-1.16,-0.42319,273.9625
AAPL,2025-11-12,275.0,275.73,271.7,273.47,48398000,-1.53,-0.55636,273.975
AAPL,2025-11-11,269.81,275.91,269.8,275.25,46208318,5.44,2.02,272.6925
AAPL,2025-11-10,268.96,273.73,267.46,269.43,41312412,0.47,0.17475,269.895
AAPL,2025-11-07,269.8,272.29,266.77,268.47,48227400,-1.32,-0.49296,269.3325
AAPL,2025-11-06,267.89,273.4,267.89,269.77,51204045,1.88,0.70178,269.7375
AAPL,2025-11-05,268.61,271.7,266.93,270.14,43683100,1.53,0.5696,269.345
AAPL,2025-11-04,268.33,271.49,267.62,270.04,49274846,1.72,0.63727,269.37
AAPL,2025-11-03,270.42,270.85,266.25,269.05,50194600,-1.37,-0.50662,269.1425
AAPL,2025-10-31,276.99,277.32,269.16,270.37,86167123,-6.62,-2.39,273.46
AAPL,2025-10-30,271.99,274.14,268.48,271.4,69886534,-0.59,-0.21692,271.5025
AAPL,2025-10-29,269.27,271.41,267.11,269.7,51086742,0.425,0.15969,269.3725
AAPL,2025-10-28,268.99,269.89,268.15,269.0,41534800,0.015,0.00371761,269.0075
AAPL,2025-10-27,264.88,269.12,264.65,268.81,44888200,3.93,1.48,266.865
